@relation exp02-looking-cumulative

@attribute h_seqNum numeric
@attribute h_stamp numeric
@attribute user_id numeric
@attribute head_confidence numeric
@attribute head_pos_x numeric
@attribute head_pos_y numeric
@attribute head_pos_z numeric
@attribute head_orient_x numeric
@attribute head_orient_y numeric
@attribute head_orient_z numeric
@attribute head_orient_w numeric
@attribute neck_confidence numeric
@attribute neck_pos_x numeric
@attribute neck_pos_y numeric
@attribute neck_pos_z numeric
@attribute neck_orient_x numeric
@attribute neck_orient_y numeric
@attribute neck_orient_z numeric
@attribute neck_orient_w numeric
@attribute torso_confidence numeric
@attribute torso_pos_x numeric
@attribute torso_pos_y numeric
@attribute torso_pos_z numeric
@attribute torso_orient_x numeric
@attribute torso_orient_y numeric
@attribute torso_orient_z numeric
@attribute torso_orient_w numeric
@attribute left_shoulder_confidence numeric
@attribute left_shoulder_pos_x numeric
@attribute left_shoulder_pos_y numeric
@attribute left_shoulder_pos_z numeric
@attribute left_shoulder_orient_x numeric
@attribute left_shoulder_orient_y numeric
@attribute left_shoulder_orient_z numeric
@attribute left_shoulder_orient_w numeric
@attribute left_elbow_confidence numeric
@attribute left_elbow_pos_x numeric
@attribute left_elbow_pos_y numeric
@attribute left_elbow_pos_z numeric
@attribute left_elbow_orient_x numeric
@attribute left_elbow_orient_y numeric
@attribute left_elbow_orient_z numeric
@attribute left_elbow_orient_w numeric
@attribute left_hand_confidence numeric
@attribute left_hand_pos_x numeric
@attribute left_hand_pos_y numeric
@attribute left_hand_pos_z numeric
@attribute left_hand_orient_x numeric
@attribute left_hand_orient_y numeric
@attribute left_hand_orient_z numeric
@attribute left_hand_orient_w numeric
@attribute right_shoulder_confidence numeric
@attribute right_shoulder_pos_x numeric
@attribute right_shoulder_pos_y numeric
@attribute right_shoulder_pos_z numeric
@attribute right_shoulder_orient_x numeric
@attribute right_shoulder_orient_y numeric
@attribute right_shoulder_orient_z numeric
@attribute right_shoulder_orient_w numeric
@attribute right_elbow_confidence numeric
@attribute right_elbow_pos_x numeric
@attribute right_elbow_pos_y numeric
@attribute right_elbow_pos_z numeric
@attribute right_elbow_orient_x numeric
@attribute right_elbow_orient_y numeric
@attribute right_elbow_orient_z numeric
@attribute right_elbow_orient_w numeric
@attribute right_hand_confidence numeric
@attribute right_hand_pos_x numeric
@attribute right_hand_pos_y numeric
@attribute right_hand_pos_z numeric
@attribute right_hand_orient_x numeric
@attribute right_hand_orient_y numeric
@attribute right_hand_orient_z numeric
@attribute right_hand_orient_w numeric
@attribute left_hip_confidence numeric
@attribute left_hip_pos_x numeric
@attribute left_hip_pos_y numeric
@attribute left_hip_pos_z numeric
@attribute left_hip_orient_x numeric
@attribute left_hip_orient_y numeric
@attribute left_hip_orient_z numeric
@attribute left_hip_orient_w numeric
@attribute left_knee_confidence numeric
@attribute left_knee_pos_x numeric
@attribute left_knee_pos_y numeric
@attribute left_knee_pos_z numeric
@attribute left_knee_orient_x numeric
@attribute left_knee_orient_y numeric
@attribute left_knee_orient_z numeric
@attribute left_knee_orient_w numeric
@attribute left_foot_confidence numeric
@attribute left_foot_pos_x numeric
@attribute left_foot_pos_y numeric
@attribute left_foot_pos_z numeric
@attribute left_foot_orient_x numeric
@attribute left_foot_orient_y numeric
@attribute left_foot_orient_z numeric
@attribute left_foot_orient_w numeric
@attribute right_hip_confidence numeric
@attribute right_hip_pos_x numeric
@attribute right_hip_pos_y numeric
@attribute right_hip_pos_z numeric
@attribute right_hip_orient_x numeric
@attribute right_hip_orient_y numeric
@attribute right_hip_orient_z numeric
@attribute right_hip_orient_w numeric
@attribute right_knee_confidence numeric
@attribute right_knee_pos_x numeric
@attribute right_knee_pos_y numeric
@attribute right_knee_pos_z numeric
@attribute right_knee_orient_x numeric
@attribute right_knee_orient_y numeric
@attribute right_knee_orient_z numeric
@attribute right_knee_orient_w numeric
@attribute right_foot_confidence numeric
@attribute right_foot_pos_x numeric
@attribute right_foot_pos_y numeric
@attribute right_foot_pos_z numeric
@attribute right_foot_orient_x numeric
@attribute right_foot_orient_y numeric
@attribute right_foot_orient_z numeric
@attribute right_foot_orient_w numeric
@attribute pose {STAND_LOOKING_LEFT,STAND_LOOKING_FORWARD,STAND_LOOKING_RIGHT}
@data
0,1324385878.390025,2,1,-0.855394,1.172112,2.537797,0.009267,-0.00007,0.00261,0.999954,1,-0.854232,0.949479,2.53367,0.009267,-0.00007,0.00261,0.999954,1,-0.244688,-0.08948,2.755192,0.140427,0.118133,0.042382,0.982104,1,-1.020404,0.949484,2.533647,-0.448316,-0.194664,0.398241,0.776224,0,-1.222544,0.685483,2.551919,-0.023219,-0.694748,0.599202,0.397168,0,-1.001513,0.521116,2.38244,-0.140393,-0.118198,-0.042412,0.9821,1,-0.688059,0.949473,2.533692,-0.366025,0.262307,-0.527373,0.720484,1,-0.587677,0.637335,2.536344,-0.252317,0.412439,-0.629179,0.608576,1,-0.631631,0.31289,2.474884,-0.140393,-0.118198,-0.042412,0.9821,1,-0.962826,0.480624,2.53381,-0.005478,-0.379836,0.008592,0.924998,1,-0.9573,0.009827,2.541656,-0.013676,-0.379793,0.012893,0.924881,1,-0.95121,-0.442316,2.557533,-0.140393,-0.118198,-0.042412,0.9821,1,-0.745492,0.480281,2.534142,-0.057018,-0.418414,-0.011975,0.906386,1,-0.778181,0.012611,2.578093,-0.071054,-0.414911,0.050178,0.905695,1,-0.763732,-0.433029,2.655172,-0.140393,-0.118198,-0.042412,0.9821,STAND_LOOKING_LEFT
0,1324385878.458476,2,1,-0.860229,1.170053,2.537286,0.009778,0.000066,0.00249,0.999949,1,-0.859117,0.946712,2.532917,0.009778,0.000066,0.00249,0.999949,1,-0.243296,-0.089584,2.755442,0.139728,0.119481,0.043018,0.982013,1,-1.02529,0.946719,2.53294,-0.448297,-0.194541,0.398309,0.77623,0,-1.227426,0.682719,2.55129,-0.023158,-0.694667,0.599236,0.397263,0,-1.006441,0.518334,2.381765,-0.139743,-0.119414,-0.043027,0.982019,1,-0.692943,0.946705,2.532895,-0.366896,0.261311,-0.529212,0.719054,1,-0.593765,0.635139,2.536995,-0.2491,0.414247,-0.629047,0.608809,1,-0.638605,0.311225,2.473365,-0.139743,-0.119414,-0.043027,0.982019,1,-0.969249,0.475994,2.531693,-0.001239,-0.379678,0.008903,0.925075,1,-0.961935,0.005184,2.535956,-0.041142,-0.379052,0.012742,0.924373,1,-0.965386,-0.445064,2.574696,-0.139743,-0.119414,-0.043027,0.982019,1,-0.751913,0.47583,2.532295,-0.053396,-0.418134,-0.006093,0.906794,1,-0.77814,0.007714,2.575492,-0.080199,-0.414926,0.029991,0.905817,1,-0.783666,-0.437877,2.652451,-0.139743,-0.119414,-0.043027,0.982019,STAND_LOOKING_LEFT
0,1324385878.521841,2,1,-0.852234,1.169629,2.539642,0.010711,0.000225,0.002587,0.999939,1,-0.85108,0.946415,2.534859,0.010711,0.000225,0.002587,0.999939,1,-0.24234,-0.089165,2.754593,0.139995,0.118302,0.043171,0.982111,1,-1.017254,0.946369,2.534934,-0.447953,-0.194617,0.39844,0.776342,0,-1.219302,0.682292,2.553178,-0.022825,-0.6948,0.599079,0.397286,0,-0.998319,0.518087,2.383477,-0.139681,-0.118087,-0.043041,0.982187,1,-0.684906,0.946461,2.534784,-0.367367,0.260685,-0.533094,0.716168,1,-0.587743,0.632636,2.540795,-0.242556,0.417361,-0.626786,0.61165,1,-0.632413,0.309786,2.472011,-0.139681,-0.118087,-0.043041,0.982187,1,-0.960942,0.475447,2.53562,-0.002019,-0.379556,0.005477,0.92515,1,-0.956892,0.004594,2.539337,-0.0321,-0.379026,0.014005,0.924723,1,-0.956183,-0.446582,2.570989,-0.139681,-0.118087,-0.043041,0.982187,1,-0.743604,0.475358,2.535017,-0.058228,-0.418029,-0.010148,0.906509,1,-0.775188,0.007814,2.580728,-0.058766,-0.416304,0.028894,0.906864,1,-0.773616,-0.440405,2.639791,-0.139681,-0.118087,-0.043041,0.982187,STAND_LOOKING_LEFT
0,1324385878.634269,2,1,-0.820243,1.110056,2.564773,0.007167,-0.00013,0.002119,0.999972,1,-0.819294,0.886437,2.561567,0.007167,-0.00013,0.002119,0.999972,1,-0.24118,-0.089735,2.755114,0.129386,0.111028,0.038771,0.984596,1,-0.985443,0.886409,2.561508,-0.448405,-0.194713,0.398186,0.776188,0,-1.187584,0.622439,2.579765,-0.02331,-0.694762,0.599229,0.397097,0,-0.966602,0.458112,2.410413,-0.129447,-0.111159,-0.038776,0.984573,1,-0.653146,0.886465,2.561627,-0.362177,0.267447,-0.527743,0.720269,1,-0.55575,0.576674,2.560654,-0.241273,0.423587,-0.623007,0.611738,1,-0.600763,0.254672,2.488162,-0.129447,-0.111159,-0.038776,0.984573,1,-0.926779,0.415093,2.557341,0.008641,-0.3798,0.008081,0.924993,1,-0.916649,-0.055666,2.552704,-0.021967,-0.379718,0.003579,0.924835,1,-0.921201,-0.507643,2.572316,-0.129447,-0.111159,-0.038776,0.984573,1,-0.709474,0.417157,2.554117,-0.046064,-0.418719,-0.009723,0.906895,1,-0.735941,-0.051624,2.589624,-0.053235,-0.417158,0.02607,0.906899,1,-0.734643,-0.500847,2.643147,-0.129447,-0.111159,-0.038776,0.984573,STAND_LOOKING_LEFT
0,1324385878.757289,2,1,-0.850964,1.132722,2.550638,0.006956,-0.00006,0.001488,0.999975,1,-0.850297,0.908836,2.547524,0.006956,-0.00006,0.001488,0.999975,1,-0.241393,-0.084273,2.757073,0.132268,0.117163,0.039005,0.983492,1,-1.016447,0.908822,2.547496,-0.44847,-0.194593,0.39826,0.776142,0,-1.218588,0.644842,2.565861,-0.023316,-0.694638,0.599327,0.397167,0,-0.997621,0.480447,2.396496,-0.132444,-0.117227,-0.039011,0.98346,1,-0.684148,0.90885,2.547551,-0.362843,0.266691,-0.532204,0.716924,1,-0.587054,0.58996,2.548825,-0.241698,0.420014,-0.623682,0.613344,1,-0.630622,0.267452,2.47762,-0.132444,-0.117227,-0.039011,0.98346,1,-0.95889,0.432182,2.547412,0.008171,-0.379732,0.006851,0.925035,1,-0.949999,-0.038596,2.542744,-0.018761,-0.37956,0.011199,0.924909,1,-0.947069,-0.490701,2.562296,-0.132444,-0.117227,-0.039011,0.98346,1,-0.741601,0.432305,2.550103,-0.034644,-0.419095,-0.013514,0.907181,1,-0.766809,-0.037068,2.574356,-0.078966,-0.414309,0.042739,0.905696,1,-0.761394,-0.481691,2.655001,-0.132444,-0.117227,-0.039011,0.98346,STAND_LOOKING_LEFT
0,1324385878.86983,2,1,-0.85997,1.160668,2.540177,0.009338,0.000036,0.001906,0.999955,1,-0.859117,0.937049,2.536,0.009338,0.000036,0.001906,0.999955,1,-0.24176,-0.084209,2.756059,0.137856,0.119199,0.039166,0.982473,1,-1.025278,0.937008,2.536007,-0.448218,-0.194657,0.398327,0.776237,0,-1.227368,0.672982,2.55428,-0.023076,-0.694762,0.599192,0.397167,0,-1.006375,0.508713,2.384774,-0.137764,-0.119173,-0.03909,0.982492,1,-0.692956,0.93709,2.535993,-0.364636,0.264293,-0.529695,0.718758,1,-0.59465,0.623522,2.538085,-0.248856,0.415069,-0.628682,0.608726,1,-0.639637,0.299736,2.473985,-0.137764,-0.119173,-0.03909,0.982492,1,-0.967896,0.466529,2.539223,0.006668,-0.379674,0.009555,0.925047,1,-0.957188,-0.004225,2.53683,-0.020076,-0.379609,0.009625,0.924879,1,-0.956029,-0.456419,2.556947,-0.137764,-0.119173,-0.03909,0.982492,1,-0.750591,0.466342,2.540055,-0.054092,-0.418331,-0.010924,0.906617,1,-0.78121,-0.001387,2.581911,-0.055008,-0.416338,0.040488,0.906641,1,-0.768741,-0.448741,2.642177,-0.137764,-0.119173,-0.03909,0.982492,STAND_LOOKING_LEFT
0,1324385878.984269,2,1,-0.856957,1.126277,2.545831,0.00846,0.00001,0.001607,0.999963,1,-0.856239,0.903127,2.542055,0.00846,0.00001,0.001607,0.999963,1,-0.24196,-0.091346,2.752071,0.133673,0.117996,0.035711,0.983328,1,-1.022402,0.903112,2.542051,-0.448232,-0.194653,0.398269,0.77626,0,-1.22452,0.639113,2.560309,-0.023135,-0.69477,0.599162,0.397195,0,-1.003535,0.474808,2.390805,-0.133583,-0.117986,-0.035701,0.983341,1,-0.690077,0.903143,2.542059,-0.363284,0.266108,-0.527119,0.720665,1,-0.59221,0.594961,2.541877,-0.250299,0.415387,-0.626706,0.609954,1,-0.635722,0.271002,2.477581,-0.133583,-0.117986,-0.035701,0.983341,1,-0.963109,0.439405,2.54245,0.011587,-0.379644,0.013393,0.924963,1,-0.947299,-0.03119,2.537145,-0.015654,-0.379773,0.009227,0.924901,1,-0.944955,-0.483604,2.553427,-0.133583,-0.117986,-0.035701,0.983341,1,-0.745794,0.441068,2.541765,-0.044914,-0.418545,-0.00902,0.90704,1,-0.771195,-0.02769,2.576565,-0.058054,-0.4162,0.040706,0.906504,1,-0.759676,-0.475262,2.639471,-0.133583,-0.117986,-0.035701,0.983341,STAND_LOOKING_LEFT
0,1324385879.098626,2,1,-0.855348,1.098222,2.552417,0.00679,0.00005,0.001709,0.999975,1,-0.854582,0.874184,2.549374,0.00679,0.00005,0.001709,0.999975,1,-0.242088,-0.091592,2.751446,0.128406,0.117391,0.035098,0.984124,1,-1.020751,0.874177,2.549385,-0.448241,-0.194603,0.398276,0.776264,0,-1.222878,0.610188,2.567673,-0.023128,-0.694744,0.599174,0.397224,0,-1.001899,0.445866,2.398153,-0.128335,-0.117339,-0.035096,0.984139,1,-0.688414,0.874191,2.549363,-0.358818,0.272252,-0.529862,0.718592,1,-0.591872,0.555915,2.545695,-0.244943,0.420279,-0.623479,0.612081,1,-0.63542,0.233063,2.476051,-0.128335,-0.117339,-0.035096,0.984139,1,-0.962701,0.403484,2.547521,0.015923,-0.37952,0.011723,0.924972,1,-0.946798,-0.067044,2.53784,-0.002636,-0.37965,0.019728,0.924916,1,-0.931188,-0.519268,2.546826,-0.128335,-0.117339,-0.035096,0.984139,1,-0.745377,0.404008,2.547258,-0.032923,-0.418781,-0.008472,0.90745,1,-0.765598,-0.065678,2.572047,-0.084013,-0.413585,0.044955,0.905466,1,-0.760217,-0.509028,2.657537,-0.128335,-0.117339,-0.035096,0.984139,STAND_LOOKING_LEFT
0,1324385879.217668,2,1,-0.844409,1.083583,2.558777,0.005683,0.000019,0.00146,0.999983,1,-0.843755,0.859402,2.556229,0.005683,0.000019,0.00146,0.999983,1,-0.241934,-0.09074,2.751168,0.125396,0.115192,0.03503,0.984774,1,-1.009925,0.859388,2.556232,-0.448351,-0.194582,0.398316,0.776185,0,-1.212042,0.595383,2.574583,-0.023178,-0.69467,0.599281,0.397188,0,-0.991039,0.43102,2.405114,-0.125453,-0.11518,-0.034993,0.984769,1,-0.677584,0.859416,2.556226,-0.357721,0.27373,-0.528768,0.719384,1,-0.580527,0.540307,2.551045,-0.242489,0.424423,-0.6244,0.609253,1,-0.627173,0.218276,2.479641,-0.125453,-0.11518,-0.034993,0.984769,1,-0.95263,0.387756,2.55571,0.022206,-0.37943,0.011583,0.924882,1,-0.934605,-0.082543,2.540507,-0.018648,-0.37939,0.00827,0.925012,1,-0.934085,-0.534431,2.558948,-0.125453,-0.11518,-0.034993,0.984769,1,-0.735299,0.387848,2.554778,-0.034108,-0.418895,-0.012521,0.907308,1,-0.75945,-0.081725,2.57898,-0.048369,-0.416715,0.055748,0.906036,1,-0.732065,-0.527914,2.639477,-0.125453,-0.11518,-0.034993,0.984769,STAND_LOOKING_LEFT
0,1324385879.333331,2,1,-0.841292,1.089114,2.55647,0.006785,0.000157,0.001612,0.999976,1,-0.840573,0.866036,2.553442,0.006785,0.000157,0.001612,0.999976,1,-0.242142,-0.093675,2.748959,0.127679,0.114686,0.033547,0.984591,1,-1.006746,0.866043,2.553494,-0.44822,-0.194489,0.39832,0.776282,0,-1.208886,0.602054,2.571846,-0.023087,-0.694674,0.599189,0.397325,0,-0.98794,0.437696,2.40227,-0.127639,-0.114526,-0.033561,0.984615,1,-0.674401,0.866028,2.553391,-0.361428,0.268817,-0.526232,0.72124,1,-0.576024,0.555081,2.550986,-0.243621,0.423279,-0.62407,0.609934,1,-0.621751,0.232757,2.480269,-0.127639,-0.114526,-0.033561,0.984615,1,-0.948743,0.39832,2.556141,0.021908,-0.379313,0.011593,0.924936,1,-0.930818,-0.071994,2.541199,-0.024235,-0.379031,0.016209,0.924924,1,-0.925564,-0.523708,2.567044,-0.127639,-0.114526,-0.033561,0.984615,1,-0.731409,0.398803,2.555753,-0.031901,-0.418741,-0.009628,0.907494,1,-0.752216,-0.070998,2.579218,-0.061317,-0.415532,0.051235,0.906062,1,-0.733292,-0.517024,2.648656,-0.127639,-0.114526,-0.033561,0.984615,STAND_LOOKING_LEFT
