@relation exp03-pointing-cumulative

@attribute h_seqNum numeric
@attribute h_stamp numeric
@attribute user_id numeric
@attribute head_confidence numeric
@attribute head_pos_x numeric
@attribute head_pos_y numeric
@attribute head_pos_z numeric
@attribute head_orient_x numeric
@attribute head_orient_y numeric
@attribute head_orient_z numeric
@attribute head_orient_w numeric
@attribute neck_confidence numeric
@attribute neck_pos_x numeric
@attribute neck_pos_y numeric
@attribute neck_pos_z numeric
@attribute neck_orient_x numeric
@attribute neck_orient_y numeric
@attribute neck_orient_z numeric
@attribute neck_orient_w numeric
@attribute torso_confidence numeric
@attribute torso_pos_x numeric
@attribute torso_pos_y numeric
@attribute torso_pos_z numeric
@attribute torso_orient_x numeric
@attribute torso_orient_y numeric
@attribute torso_orient_z numeric
@attribute torso_orient_w numeric
@attribute left_shoulder_confidence numeric
@attribute left_shoulder_pos_x numeric
@attribute left_shoulder_pos_y numeric
@attribute left_shoulder_pos_z numeric
@attribute left_shoulder_orient_x numeric
@attribute left_shoulder_orient_y numeric
@attribute left_shoulder_orient_z numeric
@attribute left_shoulder_orient_w numeric
@attribute left_elbow_confidence numeric
@attribute left_elbow_pos_x numeric
@attribute left_elbow_pos_y numeric
@attribute left_elbow_pos_z numeric
@attribute left_elbow_orient_x numeric
@attribute left_elbow_orient_y numeric
@attribute left_elbow_orient_z numeric
@attribute left_elbow_orient_w numeric
@attribute left_hand_confidence numeric
@attribute left_hand_pos_x numeric
@attribute left_hand_pos_y numeric
@attribute left_hand_pos_z numeric
@attribute left_hand_orient_x numeric
@attribute left_hand_orient_y numeric
@attribute left_hand_orient_z numeric
@attribute left_hand_orient_w numeric
@attribute right_shoulder_confidence numeric
@attribute right_shoulder_pos_x numeric
@attribute right_shoulder_pos_y numeric
@attribute right_shoulder_pos_z numeric
@attribute right_shoulder_orient_x numeric
@attribute right_shoulder_orient_y numeric
@attribute right_shoulder_orient_z numeric
@attribute right_shoulder_orient_w numeric
@attribute right_elbow_confidence numeric
@attribute right_elbow_pos_x numeric
@attribute right_elbow_pos_y numeric
@attribute right_elbow_pos_z numeric
@attribute right_elbow_orient_x numeric
@attribute right_elbow_orient_y numeric
@attribute right_elbow_orient_z numeric
@attribute right_elbow_orient_w numeric
@attribute right_hand_confidence numeric
@attribute right_hand_pos_x numeric
@attribute right_hand_pos_y numeric
@attribute right_hand_pos_z numeric
@attribute right_hand_orient_x numeric
@attribute right_hand_orient_y numeric
@attribute right_hand_orient_z numeric
@attribute right_hand_orient_w numeric
@attribute left_hip_confidence numeric
@attribute left_hip_pos_x numeric
@attribute left_hip_pos_y numeric
@attribute left_hip_pos_z numeric
@attribute left_hip_orient_x numeric
@attribute left_hip_orient_y numeric
@attribute left_hip_orient_z numeric
@attribute left_hip_orient_w numeric
@attribute left_knee_confidence numeric
@attribute left_knee_pos_x numeric
@attribute left_knee_pos_y numeric
@attribute left_knee_pos_z numeric
@attribute left_knee_orient_x numeric
@attribute left_knee_orient_y numeric
@attribute left_knee_orient_z numeric
@attribute left_knee_orient_w numeric
@attribute left_foot_confidence numeric
@attribute left_foot_pos_x numeric
@attribute left_foot_pos_y numeric
@attribute left_foot_pos_z numeric
@attribute left_foot_orient_x numeric
@attribute left_foot_orient_y numeric
@attribute left_foot_orient_z numeric
@attribute left_foot_orient_w numeric
@attribute right_hip_confidence numeric
@attribute right_hip_pos_x numeric
@attribute right_hip_pos_y numeric
@attribute right_hip_pos_z numeric
@attribute right_hip_orient_x numeric
@attribute right_hip_orient_y numeric
@attribute right_hip_orient_z numeric
@attribute right_hip_orient_w numeric
@attribute right_knee_confidence numeric
@attribute right_knee_pos_x numeric
@attribute right_knee_pos_y numeric
@attribute right_knee_pos_z numeric
@attribute right_knee_orient_x numeric
@attribute right_knee_orient_y numeric
@attribute right_knee_orient_z numeric
@attribute right_knee_orient_w numeric
@attribute right_foot_confidence numeric
@attribute right_foot_pos_x numeric
@attribute right_foot_pos_y numeric
@attribute right_foot_pos_z numeric
@attribute right_foot_orient_x numeric
@attribute right_foot_orient_y numeric
@attribute right_foot_orient_z numeric
@attribute right_foot_orient_w numeric
@attribute pose {STAND_POINTING_LEFT,STAND_POINTING_FORWARD,STAND_POINTING_RIGHT}
@data
0,1328275163.884321,2,1,-0.453354,1.362941,3.073241,-0.0075,0.000238,0.000718,0.999972,1,-0.453031,1.138637,3.076605,-0.0075,0.000238,0.000718,0.999972,1,0.216193,-0.233228,3.225294,0.17836,0.099388,-0.045115,0.977893,1,-0.613593,1.138767,3.076669,-0.256064,-0.232008,0.582951,0.735372,1,-0.681465,0.827241,3.063049,-0.23313,-0.277682,0.691123,0.625214,1,-0.648351,0.526788,3.055496,-0.179241,-0.099041,0.044812,0.977781,1,-0.292469,1.138508,3.076542,-0.266087,0.667938,-0.399688,0.5686,1,-0.353266,0.905985,2.91955,-0.115601,-0.870308,0.466035,0.109596,1,-0.635176,0.996081,2.944205,-0.179241,-0.099041,0.044812,0.977781,1,-0.556672,0.687151,3.071068,-0.143842,0.601087,0.01537,0.785982,1,-0.467001,0.251204,3.16554,-0.08158,0.596111,-0.085825,0.794122,1,-0.484077,-0.173819,3.266943,-0.179241,-0.099041,0.044812,0.977781,1,-0.346693,0.688066,3.071861,-0.107576,0.060274,0.105943,0.986697,1,-0.245711,0.254002,3.162603,-0.132966,0.048645,0.037301,0.989223,1,-0.20779,-0.166534,3.276032,-0.179241,-0.099041,0.044812,0.977781,STAND_POINTING_LEFT
0,1328275163.933496,2,1,-0.414112,1.447786,3.052024,-0.003812,0.000219,0.001205,0.999992,1,-0.413572,1.22394,3.053731,-0.003812,0.000219,0.001205,0.999992,1,0.219883,-0.229793,3.222772,0.192719,0.093714,-0.040164,0.975943,1,-0.574123,1.223881,3.053763,-0.263871,-0.221662,0.581518,0.736936,1,-0.646833,0.909672,3.047373,-0.238932,-0.267475,0.689799,0.628924,1,-0.618185,0.608627,3.045313,-0.191974,-0.09357,0.040351,0.976096,1,-0.253022,1.223999,3.053699,-0.27232,0.673503,-0.404168,0.555773,1,-0.32216,0.982796,2.89749,-0.117895,-0.863747,0.472875,0.128182,1,-0.601556,1.079431,2.930189,-0.191974,-0.09357,0.040351,0.976096,1,-0.52557,0.768046,3.063337,-0.142028,0.600224,0.009109,0.787068,1,-0.44148,0.331529,3.160075,-0.108702,0.592873,-0.095771,0.792157,1,-0.451461,-0.087186,3.284978,-0.191974,-0.09357,0.040351,0.976096,1,-0.315598,0.765113,3.061692,-0.1138,0.058555,0.100965,0.986624,1,-0.218905,0.331263,3.158465,-0.142402,0.046389,0.035335,0.98809,1,-0.182586,-0.087274,3.280111,-0.191974,-0.09357,0.040351,0.976096,STAND_POINTING_LEFT
0,1328275163.978953,2,1,-0.40111,1.38632,3.071602,-0.006912,-0.000146,0.001087,0.999976,1,-0.400623,1.162305,3.074698,-0.006912,-0.000146,0.001087,0.999976,1,0.222138,-0.232104,3.222421,0.182842,0.091803,-0.042635,0.977918,1,-0.561184,1.162295,3.074623,-0.261837,-0.224819,0.578703,0.738918,1,-0.635312,0.847505,3.065178,-0.22566,-0.287746,0.685453,0.62963,1,-0.603481,0.547286,3.049159,-0.182455,-0.091966,0.042594,0.977977,1,-0.240062,1.162315,3.074773,-0.270529,0.684373,-0.396516,0.548837,1,-0.313615,0.926437,2.917621,-0.111548,-0.866428,0.46687,0.137445,1,-0.592734,1.022214,2.957528,-0.182455,-0.091966,0.042594,0.977977,1,-0.50667,0.708989,3.069589,-0.141258,0.599468,0.003407,0.787828,1,-0.427204,0.272351,3.168958,-0.092667,0.594269,-0.080584,0.794835,1,-0.435057,-0.151626,3.275227,-0.182455,-0.091966,0.042594,0.977977,1,-0.296692,0.710209,3.068486,-0.106233,0.058744,0.097386,0.987816,1,-0.203486,0.274176,3.15876,-0.151932,0.04456,0.034724,0.986775,1,-0.167611,-0.141714,3.288477,-0.182455,-0.091966,0.042594,0.977977,STAND_POINTING_LEFT
0,1328275164.025697,2,1,-0.408591,1.352796,3.080315,-0.008044,0.000254,0.000139,0.999968,1,-0.408528,1.128766,3.08392,-0.008044,0.000254,0.000139,0.999968,1,0.224154,-0.232903,3.222518,0.177539,0.094043,-0.042069,0.978706,1,-0.569098,1.128834,3.083986,-0.258079,-0.228927,0.575728,0.7413,1,-0.644608,0.812914,3.070253,-0.222993,-0.292956,0.684596,0.62911,1,-0.61165,0.512928,3.051117,-0.177265,-0.093772,0.041885,0.97879,1,-0.247958,1.128698,3.083853,-0.284074,0.661802,-0.393282,0.571532,1,-0.301846,0.888624,2.928843,-0.109087,-0.865876,0.472725,0.122022,1,-0.58372,0.979247,2.961061,-0.177265,-0.093772,0.041885,0.97879,1,-0.515566,0.674393,3.080075,-0.130257,0.601655,0.011521,0.787979,1,-0.436013,0.235094,3.167142,-0.102704,0.594672,-0.096177,0.79156,1,-0.449167,-0.184475,3.288145,-0.177265,-0.093772,0.041885,0.97879,1,-0.305569,0.674435,3.080845,-0.0986,0.060058,0.098025,0.988465,1,-0.21201,0.237041,3.164176,-0.145662,0.045157,0.028397,0.987895,1,-0.181722,-0.181003,3.28891,-0.177265,-0.093772,0.041885,0.97879,STAND_POINTING_LEFT
0,1328275164.069728,2,1,-0.387034,1.333595,3.087984,-0.007582,0.000085,0.000667,0.999971,1,-0.386735,1.109756,3.091378,-0.007582,0.000085,0.000667,0.999971,1,0.22501,-0.23463,3.221629,0.174368,0.090906,-0.039945,0.979661,1,-0.547306,1.109744,3.091401,-0.260872,-0.225634,0.573924,0.742729,1,-0.624367,0.797425,3.0799,-0.229728,-0.284606,0.687004,0.627893,1,-0.592337,0.497079,3.067277,-0.174349,-0.090829,0.039986,0.97967,1,-0.226164,1.109767,3.091356,-0.274322,0.665766,-0.394445,0.570891,1,-0.282847,0.875868,2.935426,-0.110423,-0.869533,0.467597,0.11434,1,-0.564148,0.964443,2.963744,-0.174349,-0.090829,0.039986,0.97967,1,-0.493888,0.657146,3.090556,-0.119585,0.60286,0.015858,0.788675,1,-0.41692,0.215486,3.167664,-0.115964,0.592913,-0.122152,0.787455,1,-0.44086,-0.196093,3.310557,-0.174349,-0.090829,0.039986,0.97967,1,-0.283884,0.656161,3.089311,-0.096512,0.059736,0.093844,0.989096,1,-0.19417,0.217641,3.171079,-0.127774,0.048807,0.030692,0.990126,1,-0.162143,-0.204482,3.280398,-0.174349,-0.090829,0.039986,0.97967,STAND_POINTING_LEFT
0,1328275164.115148,2,1,-0.382518,1.333997,3.088524,-0.009251,0.000006,0.001334,0.999956,1,-0.381918,1.109304,3.092682,-0.009251,0.000006,0.001334,0.999956,1,0.225031,-0.233447,3.222217,0.174148,0.090006,-0.040429,0.979764,1,-0.542494,1.109286,3.092682,-0.261584,-0.224866,0.575573,0.741435,1,-0.619462,0.792969,3.082153,-0.226254,-0.288867,0.687354,0.626825,1,-0.585656,0.492887,3.0667,-0.174041,-0.090012,0.040472,0.97978,1,-0.221342,1.109321,3.092682,-0.267237,0.668395,-0.39976,0.567472,1,-0.282276,0.877458,2.936878,-0.110906,-0.870693,0.467893,0.103298,1,-0.563919,0.963007,2.959342,-0.174041,-0.090012,0.040472,0.97978,1,-0.486581,0.652931,3.092596,-0.122115,0.602616,0.016461,0.788461,1,-0.40781,0.211776,3.171181,-0.098554,0.594462,-0.120954,0.788842,1,-0.439973,-0.203638,3.301875,-0.174041,-0.090012,0.040472,0.97978,1,-0.27657,0.653096,3.092186,-0.092211,0.059929,0.092313,0.989638,1,-0.188404,0.213575,3.170196,-0.136947,0.047293,0.031181,0.988957,1,-0.15577,-0.206479,3.287359,-0.174041,-0.090012,0.040472,0.97978,STAND_POINTING_LEFT
0,1328275164.15849,2,1,-0.38757,1.333335,3.087406,-0.011074,-0.000336,0.001693,0.999937,1,-0.386812,1.108876,3.092378,-0.011074,-0.000336,0.001693,0.999937,1,0.222779,-0.234246,3.222943,0.173187,0.090067,-0.040815,0.979912,1,-0.54739,1.108859,3.092269,-0.26618,-0.219966,0.577967,0.739404,1,-0.623092,0.795993,3.086602,-0.217178,-0.299155,0.683934,0.628947,1,-0.588473,0.496638,3.062649,-0.174118,-0.090368,0.040893,0.979716,1,-0.226233,1.108894,3.092488,-0.266554,0.676286,-0.394442,0.56214,1,-0.290823,0.879009,2.935212,-0.109945,-0.871546,0.463193,0.117353,1,-0.5719,0.968037,2.965655,-0.174118,-0.090368,0.040893,0.979716,1,-0.489254,0.654504,3.092171,-0.125509,0.60179,0.011967,0.78864,1,-0.411936,0.213986,3.175688,-0.087134,0.595084,-0.107598,0.791647,1,-0.441054,-0.206103,3.291895,-0.174118,-0.090368,0.040893,0.979716,1,-0.279236,0.654725,3.092291,-0.089926,0.060091,0.093081,0.989767,1,-0.190476,0.214941,3.168201,-0.142073,0.046255,0.031604,0.98827,1,-0.157404,-0.203934,3.289752,-0.174118,-0.090368,0.040893,0.979716,STAND_POINTING_LEFT
0,1328275164.206192,2,1,-0.414861,1.401746,3.069192,-0.005809,0.000264,0.00133,0.999982,1,-0.414264,1.177536,3.071797,-0.005809,0.000264,0.00133,0.999982,1,0.220884,-0.229139,3.225853,0.185325,0.093991,-0.041827,0.977277,1,-0.574838,1.177484,3.071885,-0.265202,-0.219709,0.582438,0.736316,1,-0.648453,0.85871,3.0671,-0.227984,-0.281999,0.689583,0.626877,1,-0.615168,0.558455,3.05527,-0.184331,-0.093792,0.041886,0.977482,1,-0.25369,1.177588,3.07171,-0.281102,0.639648,-0.4061,0.588994,1,-0.29731,0.930833,2.917064,-0.123649,-0.863844,0.47817,0.099188,1,-0.579328,1.022434,2.932836,-0.184331,-0.093792,0.041886,0.977482,1,-0.516235,0.716905,3.075153,-0.131339,0.601143,0.008484,0.788229,1,-0.438301,0.277665,3.16472,-0.106142,0.592372,-0.115939,0.790182,1,-0.463422,-0.137818,3.298074,-0.184331,-0.093792,0.041886,0.977482,1,-0.306221,0.717257,3.076889,-0.099511,0.059538,0.09556,0.988646,1,-0.214851,0.279547,3.161244,-0.150439,0.044762,0.031445,0.987105,1,-0.181801,-0.137261,3.289942,-0.184331,-0.093792,0.041886,0.977482,STAND_POINTING_LEFT
0,1328275164.251732,2,1,-0.400566,1.360268,3.081073,-0.008992,0.000301,0.000998,0.999959,1,-0.400117,1.135734,3.085111,-0.008992,0.000301,0.000998,0.999959,1,0.221079,-0.231538,3.225486,0.176871,0.092296,-0.042331,0.978982,1,-0.560692,1.135871,3.085204,-0.26584,-0.219484,0.575189,0.741831,1,-0.637266,0.828877,3.078931,-0.233163,-0.279588,0.692405,0.622929,1,-0.602446,0.528702,3.071241,-0.177976,-0.091876,0.042024,0.978835,1,-0.239541,1.135598,3.085018,-0.272748,0.654114,-0.400525,0.580796,1,-0.290316,0.899202,2.929351,-0.11591,-0.869143,0.470506,0.098888,1,-0.572492,0.986361,2.947941,-0.177976,-0.091876,0.042024,0.978835,1,-0.505579,0.683088,3.082252,-0.12134,0.603568,0.020768,0.787751,1,-0.424055,0.24193,3.15782,-0.131373,0.591651,-0.124858,0.785557,1,-0.441821,-0.165772,3.312358,-0.177976,-0.091876,0.042024,0.978835,1,-0.295567,0.683298,3.081177,-0.097421,0.060647,0.099041,0.988444,1,-0.201101,0.245843,3.163343,-0.144045,0.046317,0.032645,0.987947,1,-0.167042,-0.172582,3.286544,-0.177976,-0.091876,0.042024,0.978835,STAND_POINTING_LEFT
0,1328275164.296083,2,1,-0.36101,1.443144,3.060904,-0.005934,0.000631,0.000417,0.999982,1,-0.360822,1.219153,3.063562,-0.005934,0.000631,0.000417,0.999982,1,0.224597,-0.227,3.224193,0.190928,0.08694,-0.038411,0.976991,1,-0.521384,1.219202,3.063737,-0.273002,-0.20912,0.57602,0.741579,1,-0.601491,0.907541,3.065137,-0.235906,-0.270774,0.687052,0.631656,1,-0.574066,0.606522,3.059722,-0.190249,-0.086326,0.038351,0.977181,1,-0.200259,1.219103,3.063387,-0.294556,0.619288,-0.405036,0.604702,1,-0.228568,0.964806,2.911537,-0.121694,-0.861165,0.485806,0.087047,1,-0.511839,1.052043,2.920933,-0.190249,-0.086326,0.038351,0.977181,1,-0.472137,0.76159,3.072588,-0.126462,0.602164,0.010577,0.788222,1,-0.395254,0.321245,3.157501,-0.141937,0.587735,-0.138985,0.784286,1,-0.41761,-0.081208,3.326164,-0.190249,-0.086326,0.038351,0.977181,1,-0.262144,0.759018,3.070772,-0.110167,0.058726,0.094069,0.987707,1,-0.171699,0.323085,3.164771,-0.13645,0.047525,0.029382,0.98907,1,-0.140618,-0.097084,3.281559,-0.190249,-0.086326,0.038351,0.977181,STAND_POINTING_LEFT
